a,b
Two short basketball players are attempting to block a taller player from throwing the ball.,Two short basketball players are attempting to block a tall player from throwing the ball.
Two tall basketball players are attempting to block a smaller player from shooting the ball.,Two tall basketball players are attempting to block a small player from shooting the ball.
"A younger bearded man wearing contacts is reading a comic in front of a closed laptop, possibly in a store.","A young bearded man wearing contacts is reading a comic in front of a closed laptop, possibly in a store."
A group of four in raincoats being stop by larger group of people who are asking them questions.,A group of four in raincoats being stop by large group of people who are asking them questions.
A small dog playing tug with a larger dog,A small dog playing tug with a large dog
The dog is pulling a rope from a bigger dog.,The dog is pulling a rope from a big dog.
A person riding a flat object is moving from a high place to a lower place.,A person riding a flat object is moving from a high place to a low place.
The tent is larger than the other tents.,The tent is large
A boy teaches a smaller boy wearing a helmet how to ride a bike.,A boy teaches a small boy wearing a helmet how to ride a bike.
An older girl helps a younger girl ice skate.,An older girl helps a young girl ice skate.
An older girl and a younger boy play on ice.,An older girl and a young boy play on ice.
A younger female is using her legs.,A young female is using her legs.
"A man is looking down at a huge camera that's hanging around his neck, while two younger children look on.","A man is looking down at a huge camera that's hanging around his neck, while two young children look on."
An older gentlemen getting his beard trimmed by a younger barber.,An older gentlemen getting his beard trimmed by a young barber.
"There are two younger males in the street, one running while another can be heard supporting his friend.","There are two young males in the street, one running while another can be heard supporting his friend."
One of the animals in the picture is considerably larger than the other.,One of the animals in the picture is considerably large
An older man in black and white cargo pants and black gloves is showing the ropes to a younger man wearing brown and white cargo pants.,An older man in black and white cargo pants and black gloves is showing the ropes to a young man wearing brown and white cargo pants.
A younger boy wearing headphones with a microphone laughs with an older boy wearing a green t-shirt while looking at a computer screen.,A young boy wearing headphones with a microphone laughs with an older boy wearing a green t-shirt while looking at a computer screen.
The boy at the computer made  the younger boy laugh by showing him a funny video,The boy at the computer made the young boy laugh by showing him a funny video
A man gives a small child a better view.,A man gives a small child a good view.
A younger woman in a green dress is sitting outside a doorway holding a bag of chips.,A young woman in a green dress is sitting outside a doorway holding a bag of chips.
a younger man is working on a car,a young man is working on a car
The man is younger than 90 years old.,The man is young
"An older man with a tan vest and backpack is standing in front of a butcher's display case, ordering something from a younger man in a ball cap standing behind the counter.","An older man with a tan vest and backpack is standing in front of a butcher's display case, ordering something from a young man in a ball cap standing behind the counter."
a younger woman crosses the street,a young woman crosses the street
A girl is up higher than the ground balancing.,A girl is up high
the child was trying to stand taller on his tricycle.,the child was trying to stand tall on his tricycle.
Two guys are participating in matchmaking doubles to qualify for a bigger online tournament in halo,Two guys are participating in matchmaking doubles to qualify for a big online tournament in halo
There are a couple adults taking some younger children out for a walk while they hang on to a green rope.,There are a couple adults taking some young children out for a walk while they hang on to a green rope.
A small boy in a t-shirt is playing doctor with a younger female in a tank top in a home-styled room with wood floors and large furniture pieces.,A small boy in a t-shirt is playing doctor with a young female in a tank top in a home-styled room with wood floors and large furniture pieces.
The woman is larger than the child.,The woman is large
"A young woman wearing a short black and white skirt and no shoes, carrying a toddler wearing a red outfit and a hat while walking into deeper water from the shallow water on a beach.","A young woman wearing a short black and white skirt and no shoes, carrying a toddler wearing a red outfit and a hat while walking into deep water from the shallow water on a beach."
The men on the ground are of higher rank than the men in the air.,The men on the ground are of high rank
A woman's lower body can be seen as she wears blue jeans and walks in front of a large sign depicting another woman wearing a black top and sunglasses.,A woman's low body can be seen as she wears blue jeans and walks in front of a large sign depicting another woman wearing a black top and sunglasses.
A woman's lower half can be seen walking in front of a sign.,A woman's low half can be seen walking in front of a sign.
"Two dogs walk in the snow, the larger dog has a fish in his mouth.","Two dogs walk in the snow, the large dog has a fish in his mouth."
"Two boats of people kayaking, a smaller yellow boat with two people and a larger white boat with six people.","Two boats of people kayaking, a smaller yellow boat with two people and a large white boat with six people."
Two rowers in yellow canoe approach six rowers in a longer white canoe.,Two rowers in yellow canoe approach six rowers in a long white canoe.
Two people in a yellow kayak come along side a larger white kayak.,Two people in a yellow kayak come along side a large white kayak.
The yellow kayak approaches the larger white kayak.,The yellow kayak approaches the large white kayak.
"A group of people jump along the street, some higher than others.","A group of people jump along the street, some high"
An older man holds a crying toddler while a younger man wearing a green shirt stares into the camera.,An older man holds a crying toddler while a young man wearing a green shirt stares into the camera.
This image is of a crying toddler being held by an older gentleman with a camera as a younger male with long red-hair stands beside them.,This image is of a crying toddler being held by an older gentleman with a camera as a young male with long red-hair stands beside them.
An older man holds a crying toddler next to a younger man.,An older man holds a crying toddler next to a young man.
A boy helps his younger sister across the field.,A boy helps his young sister across the field.
A boy is walking home from school with his younger sister.,A boy is walking home from school with his young sister.
The men are taller than the dog.,The men are tall
A girl sits on her father's shoulders to garner a better look.,A girl sits on her father's shoulders to garner a good look.
I'll kick this ball higher than you every time we meet.,I'll kick this ball high
A young girl practices gymnastics while two younger kids play in the background.,A young girl practices gymnastics while two young kids play in the background.
The girl is trying to make the meet but her two younger brothers are making it hard.,The girl is trying to make the meet but her two young brothers are making it hard.
"Two girls, one older and in black and one younger and in white, are performing the same ballet move in front of decorations made from balloons.","Two girls, one older and in black and one young and in white, are performing the same ballet move in front of decorations made from balloons."
A younger man with glasses is sitting on a patch of grass next to other people.,A young man with glasses is sitting on a patch of grass next to other people.
A photographer climbs a ladder to get a better shot of the wedding party,A photographer climbs a ladder to get a good shot of the wedding party
A man is applying lipstick to his lower lip before he puts his dress on.,A man is applying lipstick to his low lip before he puts his dress on.
A young girl in a bathing suit and goggles with a cast on her lower arm is diving off a starter block into a swimming pool with lane lines.,A young girl in a bathing suit and goggles with a cast on her low arm is diving off a starter block into a swimming pool with lane lines.
A younger woman and an older woman riding public transportation.,A young woman and an older woman riding public transportation.
"Two men, one older and one younger standing by public transportation.","Two men, one older and one young standing by public transportation."
A woman and a younger child are walking in the woods.,A woman and a young child are walking in the woods.
A woman and younger child are trying to find their campsite.,A woman and young child are trying to find their campsite.
The water body is larger than the man,The water body is large
Two women dressed in ethnic garb look out at the distance as the older woman sits on a brick and the younger of the two stands.,Two women dressed in ethnic garb look out at the distance as the older woman sits on a brick and the young of the two stands.
An older man and a younger man are wearing jackets.,An older man and a young man are wearing jackets.
Two people is greater than one person.,Two people is great
A man with longer hair is surfing.,A man with long hair is surfing.
A small black dog looks at a larger brown dog in a grassy field.,A small black dog looks at a large brown dog in a grassy field.
a younger man binding wheat,a young man binding wheat
A brother and sister gets better reception by watching TV on the rooftop.,A brother and sister gets good reception by watching TV on the rooftop.
An older gentleman in a brown cap looking at a younger gentleman's arm.,An older gentleman in a brown cap looking at a young gentleman's arm.
An old man is looking at a younger person.,An old man is looking at a young person.
The baby is dressed in a strange way and her body her smile might be bigger than her feet.,The baby is dressed in a strange way and her body her smile might be big
Picture viewers wonder whether the little girl in pantaloons has bigger feet or a bigger smile.,Picture viewers wonder whether the little girl in pantaloons has big feet or a bigger smile.
Some onions are larger than others.,Some onions are large
"Two men, one younger with brown hair, one older with gray hair, working on a roof together.","Two men, one young with brown hair, one older with gray hair, working on a roof together."
younger men are digging,young men are digging
The red sled is faster than the blue one,The red sled is fast
The man head is lower than his legs.,The man head is low
Four younger children are together as one of the younger ones is looking at one older one that is with them.,Four young children are together as one of the younger ones is looking at one older one that is with them.
the older child is babysitting the younger children,the older child is babysitting the young children
A group of three older people and three younger people stand grouped together in a body of water.,A group of three older people and three young people stand grouped together in a body of water.
The bike is larger than a truck.,The bike is large
Two younger females are goofing off for a photo.,Two young females are goofing off for a photo.
the younger couple is getting married,the young couple is getting married
three younger girls playing volleyball,three young girls playing volleyball
The man is no longer on the ground,The man is no long on the ground
A man and his father look very amused as the younger man in the blue shirt and masters hat hold up a barbie doll.,A man and his father look very amused as the young man in the blue shirt and masters hat hold up a barbie doll.
A man and his father watch a younger man hold up a barbie doll.,A man and his father watch a young man hold up a barbie doll.
A father and son watch a younger man play with a barbie.,A father and son watch a young man play with a barbie.
The military section of the parade is bigger than the parade itself.,The military section of the parade is big
A younger woman wearing a tee-shirt is taking the blood pressure of an older woman wearing blue.,A young woman wearing a tee-shirt is taking the blood pressure of an older woman wearing blue.
Two older boys in hooded sweatshirts lay on a mattress in a store as two younger girls look on.,Two older boys in hooded sweatshirts lay on a mattress in a store as two young girls look on.
"An old musician decides he will no longer play music, as it reminds him of his youth.","An old musician decides he will no long play music, as it reminds him of his youth."
a younger football player jumps,a young football player jumps
@ kids are sliding down the hill in order to get to the ice cream man faster,@ kids are sliding down the hill in order to get to the ice cream man fast
"Two dogs are standing in snow, the smaller one barking at the larger one.","Two dogs are standing in snow, the smaller one barking at the large one."
Two dogs are near each other the smaller one barks at the big one.,Two dogs are near each other the small one barks at the big one.
A brown dog is running in the snow with a smaller black dog running behind it.,A brown dog is running in the snow with a small black dog running behind it.
Two jockeys whip their horses to run faster toward the finish line.,Two jockeys whip their horses to run fast toward the finish line.
A woman watches police respond to the bank she just robbed because she knows it's smarter to walk away rather then drive.,A woman watches police respond to the bank she just robbed because she knows it's smart to walk away rather then drive.
"Two ladies wearing formal wear, one of whom is older than the other one and is helping the younger one get dressed.","Two ladies wearing formal wear, one of whom is older than the other one and is helping the young one get dressed."
"Two women standing in front of an open door, the older woman is helping to dress the younger one.","Two women standing in front of an open door, the older woman is helping to dress the young one."
A older man in beige stands near a younger man in blue in front of a building.,A older man in beige stands near a young man in blue in front of a building.
A younger man is wearing blue.,A young man is wearing blue.
A brown dog is lowering his head near a smaller white dog outdoors.,A brown dog is lowering his head near a small white dog outdoors.
A bigger dog leaned down to see the smaller dog.,A bigger dog leaned down to see the small dog.
A door greater is standing at an open door to a building.,A door great is standing at an open door to a building.
Kids are doing work for the greater good.,Kids are doing work for the great good.
A woman with a Mohawk holds the leash for two smaller pug dogs.,A woman with a Mohawk holds the leash for two small pug dogs.
A woman is walking two smaller pug dogs.,A woman is walking two small pug dogs.
An older man is watching a younger boy.,An older man is watching a young boy.
A boat leaves the harbor for deeper water.,A boat leaves the harbor for deep water.
Men are in the gym and are debating who is stronger by who can do handstands.,Men are in the gym and are debating who is strong by who can do handstands.
"Two women are jogging outdoors, as to lower their cholesterol, as a couple hold hands in front of a lake.","Two women are jogging outdoors, as to low their cholesterol, as a couple hold hands in front of a lake."
An older man is giving a younger man a haircut.,An older man is giving a young man a haircut.
A younger man is getting his haircut.,A young man is getting his haircut.
An older bald guy giving a haircut to a younger guy.,An older bald guy giving a haircut to a young guy.
The younger man is sitting in a chair.,The young man is sitting in a chair.
The rock is taller than the man,The rock is tall
A man is trying to get better at rollerskating.,A man is trying to get good at rollerskating.
An older man tries to hit on a younger woman at a bar.,An older man tries to hit on a young woman at a bar.
A woman and younger male are outside with an animal.,A woman and young male are outside with an animal.
A mother poses with her son after making an ugly snowman that is a better father figure than the dad.,A mother poses with her son after making an ugly snowman that is a good father figure than the dad.
A little girl is sweeping a patio with a broom that is bigger than she is.,A little girl is sweeping a patio with a broom that is big
The girl who is shown is larger than the broom that is also shown.,The girl who is shown is large
a younger man is driving,a young man is driving
A small male is walking behind a larger male through some high grass in a park.,A small male is walking behind a large male through some high grass in a park.
a teenager and a younger kid are talking at a gathering in a park,a teenager and a young kid are talking at a gathering in a park
A man dressed for cooler weather blows leaves.,A man dressed for cool weather blows leaves.
Man dressed for cooler weather blows leaves.,Man dressed for cool weather blows leaves.
A man for cooler weather.,A man for cool weather.
Dressed for cooler leaves.,Dressed for cool leaves.
The group of musicians in this picture are all younger people.,The group of musicians in this picture are all young people.
A few younger boys play around a fountain.,A few young boys play around a fountain.
A biker rider jumping high over a dirt hill and seems to be higher than an electric pole.,A biker rider jumping high over a dirt hill and seems to be high
Military trainees in a rubber raft hook a ladder onto a larger boat.,Military trainees in a rubber raft hook a ladder onto a large boat.
Four military servicemen in a boat are attempting to attach a stairway to a larger vessel next to them.,Four military servicemen in a boat are attempting to attach a stairway to a large vessel next to them.
The man would like a better view.,The man would like a good view.
A woman hanging out of a car window in order to try and get a better look at something up ahead.,A woman hanging out of a car window in order to try and get a good look at something up ahead.
A smaller puppy playfully nips at a larger dog.,A smaller puppy playfully nips at a large dog.
People walking close to a large advertisment depicting a half naked man and a product promoting better sex.,People walking close to a large advertisment depicting a half naked man and a product promoting good sex.
"Two little girls in dresses, one older, one younger, on a shoreline with some larger rocks just sticking out of the water.","Two little girls in dresses, one older, one younger, on a shoreline with some large rocks just sticking out of the water."
a younger man laying on the sidewalk,a young man laying on the sidewalk
A brunette child holds her younger blonde sibling who is wearing yellow boots.,A brunette child holds her young blonde sibling who is wearing yellow boots.
An easier way to move furniture.,An easy way to move furniture.
The man is playing a solo as part of a larger musical group.,The man is playing a solo as part of a large musical group.
"The man fell off the ladder, so now he's on the scaffolding trying to put it in a better spot.","The man fell off the ladder, so now he's on the scaffolding trying to put it in a good spot."
A mother is selling her gold heart pendant as she no longer wants it,A mother is selling her gold heart pendant as she no long wants it
A younger female is eating an ice cream bar in the park.,A young female is eating an ice cream bar in the park.
A younger woman is currently in motion.,A young woman is currently in motion.
An older man and two younger men perform in front of a group.,An older man and two young men perform in front of a group.
The men are best friends trying to settle a bet of who is better at wrestling.,The men are best friends trying to settle a bet of who is good at wrestling.
A small white dog is playing with a bigger brown dog in the woods.,A small white dog is playing with a big brown dog in the woods.
a small dog chases a bigger dog,a small dog chases a big dog
A smaller white dog and large shepherd playing near two people.,A small white dog and large shepherd playing near two people.
A large  shepherd jumping on top a smaller white dog.,A large shepherd jumping on top a small white dog.
"An older and a younger woman, both with tennis attire and rackets, smile side to side for the camera.","An older and a young woman, both with tennis attire and rackets, smile side to side for the camera."
An older and younger women are playing tennis.,An older and young women are playing tennis.
"Two children, an older boy and a younger girl, are walking down a sidewalk wearing their winter coats.","Two children, an older boy and a young girl, are walking down a sidewalk wearing their winter coats."
The people are younger than 21.,The people are young
Asian cook prepares food to sample at a large white table with a foam cooler to the cook's right and a man looking over his shoulder observing.,Asian cook prepares food to sample at a large white table with a foam cool to the cook's right and a man looking over his shoulder observing.
A child pulls a younger boy in a red sled.,A child pulls a young boy in a red sled.
An older child is pulling a younger one in a sled.,An older child is pulling a young one in a sled.
"A child approximately 7-10 years of age, dressed in winter clothes, pulls a younger child in a red sled along a snowy street.","A child approximately 7-10 years of age, dressed in winter clothes, pulls a young child in a red sled along a snowy street."
The dog is almost taller than the girls.,The dog is almost tall
It is so dark you can no longer see the people or the shrubs.,It is so dark you can no long see the people or the shrubs.
"An old man in a white shirt walks, his eyes cast downward, on a city street; behind him, a younger woman in a white shirt and dark cardigan and blue jeans glances upward.","An old man in a white shirt walks, his eyes cast downward, on a city street; behind him, a young woman in a white shirt and dark cardigan and blue jeans glances upward."
"An older, seated woman with wild gray hair has makeup applied by a younger woman with equally wild, but blond-dyed hair.","An older, seated woman with wild gray hair has makeup applied by a young woman with equally wild, but blond-dyed hair."
A small white and black dog chasing a slightly larger brown dog in a grassy area.,A small white and black dog chasing a slightly large brown dog in a grassy area.
a younger woman is on a swing,a young woman is on a swing
Two younger dogs biting a Frisbee playfully.,Two young dogs biting a Frisbee playfully.
"Two boys wearing red jackets are digging shovels into the dirt, the smaller boy in the yellow boots has a mohawk.","Two boys wearing red jackets are digging shovels into the dirt, the small boy in the yellow boots has a mohawk."
"There are two boys digging shovels in the dirt, the larger boy is wearing a hat.","There are two boys digging shovels in the dirt, the large boy is wearing a hat."
The boy is trying to jump higher than his friends.,The boy is trying to jump high
The larger child will help put on the smaller child's shoes.,The larger child will help put on the small child's shoes.
The larger child knows how to put on shoes.,The large child knows how to put on shoes.
The larger child needs help putting on his shoes.,The large child needs help putting on his shoes.
The larger child is related to the smaller child.,The larger child is related to the small child.
A girl and her younger brother are playing in a field of tall grass.,A girl and her young brother are playing in a field of tall grass.
An older boy chases a laughing younger boy on the grass.,An older boy chases a laughing young boy on the grass.
A man in a black hat with one leg is standing in front of a wheelchair throwing something while an older woman and tow younger men watch.,A man in a black hat with one leg is standing in front of a wheelchair throwing something while an older woman and tow young men watch.
Older people are with younger people.,Older people are with young people.
A brown and white dog standing next to a smaller brown and white dog in front of a fence.,A brown and white dog standing next to a small brown and white dog in front of a fence.
An older boy drinks from a water fountain while a younger boy watches.,An older boy drinks from a water fountain while a young boy watches.
The younger boy is drinking from the fountain.,The young boy is drinking from the fountain.
An older boy is being kind and helping a younger girl,An older boy is being kind and helping a young girl
The man will bowl worse as a result of the cosmic imagery distraction.,The man will bowl bad as a result of the cosmic imagery distraction.
A large black man with a beard and a smaller framed white male with a receding hair line are professionally dressed and having a conversation while a woman stands looking away in the background.,A large black man with a beard and a small framed white male with a receding hair line are professionally dressed and having a conversation while a woman stands looking away in the background.
A larger man is putting a tie onto a smaller man.,A larger man is putting a tie onto a small man.
Two African men are digging dirt out of a cauldron and into a larger pile.,Two African men are digging dirt out of a cauldron and into a large pile.
The boy is smaller than the woman,The boy is small
A young boy is looking at a younger girl pointing towards a vending machine name Blackberry,A young boy is looking at a young girl pointing towards a vending machine name Blackberry
A young female child in a pink dress kisses a younger child on the forehead while both are sitting on outdoor steps.,A young female child in a pink dress kisses a young child on the forehead while both are sitting on outdoor steps.
A younger woman and older man run on treadmills.,A young woman and older man run on treadmills.
A younger woman and older man are running on treadmills next to each other.,A young woman and older man are running on treadmills next to each other.
A younger woman and older man are in a gymnasium.,A young woman and older man are in a gymnasium.
A younger woman and an older man are excercising.,A young woman and an older man are excercising.
The runners' heart rates are higher than if they were seated.,The runners' heart rates are high
The younger woman and older man are standing and talking.,The young woman and older man are standing and talking.
A person is remembering better times when they were younger.,A person is remembering good times when they were younger.
The boy is much shorter than the man.,The boy is much short
A girl sits on a decorated bike with a younger boy while another girl takes a picture.,A girl sits on a decorated bike with a young boy while another girl takes a picture.
A boys stands on a decorated bike with a younger boy while another boy takes a picture.,A boys stands on a decorated bike with a young boy while another boy takes a picture.
She is climbing the tree to get a better reception.,She is climbing the tree to get a good reception.
the younger kids are walking down the sterrt,the young kids are walking down the sterrt
Young adults get to know one another better at a party for meeting new people.,Young adults get to know one another good at a party for meeting new people.
An older man is sitting on a red bench with a younger man.,An older man is sitting on a red bench with a young man.
A professional roof thatcher thinks about how much better other forms of roofs are.,A professional roof thatcher thinks about how much good other forms of roofs are.
Two men are doing karate moves on each other as the younger students and others in the class observe.,Two men are doing karate moves on each other as the young students and others in the class observe.
A smaller dog is chasing a bunny.,A small dog is chasing a bunny.
a dog is playing with a golf ball because he lost his bigger ball,a dog is playing with a golf ball because he lost his big ball
There is a man kneeling on the street in front of a car that no longer works.,There is a man kneeling on the street in front of a car that no long works.
Two smaller dogs chase a larger dog around a pond.,Two smaller dogs chase a large dog around a pond.
"A male ski enthusiast dressed in black sits down under a ski lift while a younger child wearing a gray, orange and white ski jacket stand next to him.","A male ski enthusiast dressed in black sits down under a ski lift while a young child wearing a gray, orange and white ski jacket stand next to him."
A younger couple is going for a jog.,A young couple is going for a jog.
The cop pedals faster and faster along the path.,The cop pedals fast and faster along the path.
Two men in a small boat are working on a larger ship.,Two men in a small boat are working on a large ship.
"A neighborhood on the outskirts of a larger city, looking down the street.","A neighborhood on the outskirts of a large city, looking down the street."
An elderly man standing near a younger man.,An elderly man standing near a young man.
An older man standing by a younger man with earphones,An older man standing by a young man with earphones
Two rivals teams are finally deciding which is better in a game between them in the grass field.,Two rivals teams are finally deciding which is good in a game between them in the grass field.
A younger man in a gray shirt pointing to a blackboard that has drawings on it.,A young man in a gray shirt pointing to a blackboard that has drawings on it.
A man in a red shirt pins a younger man in a white shirt to a blue padded mat.,A man in a red shirt pins a young man in a white shirt to a blue padded mat.
A person in a red shirt pins a younger man in a white shirt to a blue padded mat.,A person in a red shirt pins a young man in a white shirt to a blue padded mat.
A sad man in a red shirt pins a younger man in a white shirt to a blue padded mat.,A sad man in a red shirt pins a young man in a white shirt to a blue padded mat.
A woman in a red shirt pins a younger woman in a white shirt to a blue padded mat.,A woman in a red shirt pins a young woman in a white shirt to a blue padded mat.
Two men inspect the younger boy's arm for injuries.,Two men inspect the young boy's arm for injuries.
Large dog playing with smaller dog,Large dog playing with small dog
"Large dog playing with smaller dog, while outside.","Large dog playing with small dog, while outside."
Large dog running around with smaller dog.,Large dog running around with small dog.
A younger man is putting liquid into a vile.,A young man is putting liquid into a vile.
A girl stands outside of a blue and white home while a younger child sits on its stoop.,A girl stands outside of a blue and white home while a young child sits on its stoop.
The girl is sitting with the younger child on the stoop.,The girl is sitting with the young child on the stoop.
The girl and younger child are waiting for their father to come home from work.,The girl and young child are waiting for their father to come home from work.
The three men are much larger then the cross.,The three men are much large then the cross.
The grass is taller than before,The grass is tall
A gray-haired man and a blond younger woman listen to someone speak to them at an outside cafe.,A gray-haired man and a blond young woman listen to someone speak to them at an outside cafe.
A younger woman sitting near a body of water with a dog.,A young woman sitting near a body of water with a dog.
A worker is riding a lift to reach higher a shelf.,A worker is riding a lift to reach high a shelf.
Two people lower themselves into a cave with long ropes.,Two people low themselves into a cave with long ropes.
Two boys are teaching their younger brother to skate.,Two boys are teaching their young brother to skate.
Some people wait by a store in the mall while the younger girls read a book.,Some people wait by a store in the mall while the young girls read a book.
The woman is taller than the child.,The woman is tall
An office gets a new water cooler for the breakroom.,An office gets a new water cool for the breakroom.
An older martial arts student demonstrating to younger students.,An older martial arts student demonstrating to young students.
The building will be a skyscraper taller than anything else.,The building will be a skyscraper tall
Two older boys and two younger boys are looking out at the water while on a boat.,Two older boys and two young boys are looking out at the water while on a boat.
"Adult female and younger child, both dressed in blue, sitting on a colorful horse on a carousel.","Adult female and young child, both dressed in blue, sitting on a colorful horse on a carousel."
One of the cheerleaders is jumping higher than the other.,One of the cheerleaders is jumping high
"Two younger women, one holding a small blond girl on her lap, watch as an elderly woman plays Chinese checkers against an opponent in a blue shirt whose back is to the camera.","Two young women, one holding a small blond girl on her lap, watch as an elderly woman plays Chinese checkers against an opponent in a blue shirt whose back is to the camera."
"Brunette female wearing yellow bikini top, has large tattoo inked across her lower back, and a blue towel draped across her right shoulder.","Brunette female wearing yellow bikini top, has large tattoo inked across her low back, and a blue towel draped across her right shoulder."
Brunette female wearing a yellow bikini top and white shorts has a large tattoo on her lower back and a towel across her right shoulder.,Brunette female wearing a yellow bikini top and white shorts has a large tattoo on her low back and a towel across her right shoulder.
A small girl is lying on the floor while her younger sister is pretending to be a nurse.,A small girl is lying on the floor while her young sister is pretending to be a nurse.
"Two men and a woman in shorts and hiking gear stand in the snow before a large green sign with a smaller sign saying ""Danger"" on top.","Two men and a woman in shorts and hiking gear stand in the snow before a large green sign with a small sign saying ""Danger"" on top."
a younger woman dressed as a mermaid,a young woman dressed as a mermaid
"A man, a woman, a girl, and a younger girl look puzzled and concerned.","A man, a woman, a girl, and a young girl look puzzled and concerned."
"An older looking woman is taking notes in a lecture hall at a university, with younger looking students in the background.","An older looking woman is taking notes in a lecture hall at a university, with young looking students in the background."
The women belong to a larger symphony.,The women belong to a large symphony.
Two women are walking down the street and the younger lady is helping the older.,Two women are walking down the street and the young lady is helping the older.
"Two men walking down the street, the younger helping the older.","Two men walking down the street, the young helping the older."
"Two people walking down the street, the younger helping the older.","Two people walking down the street, the young helping the older."
"Two Indonesian people walking down the street, the younger helping the older.","Two Indonesian people walking down the street, the young helping the older."
The yellow machine is breaking the sticks into smaller pieces.,The yellow machine is breaking the sticks into small pieces.
The firetrucks and other vehicles are moving slower than people.,The firetrucks and other vehicles are moving slow
Two older children hold the hands of a younger child in goggles while jumping into a pool.,Two older children hold the hands of a young child in goggles while jumping into a pool.
Two kids hold a younger kids hands while they jump into a pool.,Two kids hold a young kids hands while they jump into a pool.
"A woman, wearing a dark top and jeans, gets down on her knees in the sand to get a better shot with her camera.","A woman, wearing a dark top and jeans, gets down on her knees in the sand to get a good shot with her camera."
A person holds another smaller person.,A person holds another small person.
A small black and white dog and a larger tan one are checking each other out at the waters edge.,A small black and white dog and a large tan one are checking each other out at the waters edge.
The moon no longer exists,The moon no long exists
a younger man gets tackled,a young man gets tackled
a bunch of defenders that want better quality in there town.,a bunch of defenders that want good quality in there town.
A crowd is fighting for a better town.,A crowd is fighting for a good town.
A younger women is wearing neon blue for tea.,A young women is wearing neon blue for tea.
An older couple looking down on a younger couple as they make love.,An older couple looking down on a young couple as they make love.
The older couple are the grandparents of the younger couple.,The older couple are the grandparents of the young couple.
"Two rottweiler dogs indoors, the smaller one barking at the larger.","Two rottweiler dogs indoors, the small one barking at the larger."
"As the brown dog looks the other way, a large black and white dog plays with a smaller black dog.","As the brown dog looks the other way, a large black and white dog plays with a small black dog."
The large black and white dog likes playing with the smaller black dog but doesn't like playing with the brown dog.,The large black and white dog likes playing with the small black dog but doesn't like playing with the brown dog.
An older man digs up sand while a younger girl watches him.,An older man digs up sand while a young girl watches him.
The older man and the younger girl is having an affair.,The older man and the young girl is having an affair.
One fan is taller than most of the others.,One fan is tall
An older man is helping to lower a stack of pipes.,An older man is helping to low a stack of pipes.
A younger woman carries a child.,A young woman carries a child.
Two younger people are dancing to the music.,Two young people are dancing to the music.
The person find it easier to balance a full bowl than it is to balance an empty one.,The person find it easy to balance a full bowl than it is to balance an empty one.
A tall girl jumps over a smaller child.,A tall girl jumps over a small child.
"Three younger heavyset ladies, dressed nicely in warm weather clothing adjusting themselves while walking down a sidewalk with palm trees in the background and two younger men following several feet behind.","Three young heavyset ladies, dressed nicely in warm weather clothing adjusting themselves while walking down a sidewalk with palm trees in the background and two younger men following several feet behind."
construction workers trying to build faster than a fire destroys,construction workers trying to build fast
A redheaded boy is playing the saxophone and accepting donations in a black suitcase while standing next to a smaller child.,A redheaded boy is playing the saxophone and accepting donations in a black suitcase while standing next to a small child.
The redheaded boy and the smaller child are brothers.,The redheaded boy and the small child are brothers.
A blond-haired child performing on the trumpet in front of a house while his younger brother watches.,A blond-haired child performing on the trumpet in front of a house while his young brother watches.
The phone booth is cheaper than the other options.,The phone booth is cheap
The person in the striped dress is younger than the other person.,The person in the striped dress is young
A small black dog is shocked when a larger brown dog gives him a sniff.,A small black dog is shocked when a large brown dog gives him a sniff.
The brown dog sniffs the back of a smaller black dog.,The brown dog sniffs the back of a small black dog.
"Two people dressed in athletic clothing walk down the street, while the taller of the two is holding a basketball.","Two people dressed in athletic clothing walk down the street, while the tall of the two is holding a basketball."
A man with a blue shirt posing with a taller man in sunglasses,A man with a blue shirt posing with a tall man in sunglasses
This restaurant is better than restaurants on the west side!,This restaurant is good
There is no longer a payphone at that yellow store.,There is no long a payphone at that yellow store.
A man is moving is hot dog stand to the other side of the road for better business.,A man is moving is hot dog stand to the other side of the road for good business.
2 girls debating whose dress is better,2 girls debating whose dress is good
A younger child wearing a red sweater showing us whats in his hand.,A young child wearing a red sweater showing us whats in his hand.
"A young man and a much younger boy are sitting on the floor, opening a present, with a decorated Christmas tree in the background.","A young man and a much young boy are sitting on the floor, opening a present, with a decorated Christmas tree in the background."
A man and a woman stand facing each other outside in front of an urn taller than them.,A man and a woman stand facing each other outside in front of an urn tall
A pedestrian is trying to make his city a better place,A pedestrian is trying to make his city a good place
A child carries his younger sibling in a cloth sling on his back.,A child carries his young sibling in a cloth sling on his back.
The old woman reflects upon her younger years while gazing out the window of her retirement home.,The old woman reflects upon her young years while gazing out the window of her retirement home.
two younger women stand by a sink,two young women stand by a sink
A woman in a black and white striped shirt leaning down and smiling at a younger girl with bangs.,A woman in a black and white striped shirt leaning down and smiling at a young girl with bangs.
men thinking about going deeper in the cold water,men thinking about going deep in the cold water
The couple is part of the larger group.,The couple is part of the large group.
A big gray dog wearing a chain collar has a smaller brown dog pinned down.,A big gray dog wearing a chain collar has a small brown dog pinned down.
The gray dog is bigger than the brown dog.,The gray dog is big
The big gray dog is attacking the smaller brown dog.,The big gray dog is attacking the small brown dog.
A man climbs up to get a better view.,A man climbs up to get a good view.
"Two men, one younger one older, work in a small room with open doors and windows loading plastic crates.","Two men, one young one older, work in a small room with open doors and windows loading plastic crates."
